,28 THORNHURST,SAN ANTONIO,TX,78218
,534 TIMBERLANE,SAN ANTONIO,TX,78218
,3315 TREE GROVE,SAN ANTONIO,TX,78247
,4006 TROPICAL,SAN ANTONIO,TX,78218
,4130 TROPICAL,SAN ANTONIO,TX,78218
,3436 TWISTED OAKS,SAN ANTONIO,TX,78217
,3707 VAN DYKE,SAN ANTONIO,TX,78218
,5170 VILLAGE GREEN,SAN ANTONIO,TX,78218
,5026 VILLAGE PATH,SAN ANTONIO,TX,78218
,12203 VIOLET,SAN ANTONIO,TX,78247
,4211 WAIKIKI,SAN ANTONIO,TX,78218
,16031 WALNUT CREEK,SAN ANTONIO,TX,78247
,10615 WAYWARD,SAN ANTONIO,TX,78217
,38 WESTERLEIGH,SAN ANTONIO,TX,78218
,39 WESTERLEIGH,SAN ANTONIO,TX,78218
,4623 WETZ,SAN ANTONIO,TX,78217
,4638 WETZ,SAN ANTONIO,TX,78217
,6300 WILLOW HILL,SAN ANTONIO,TX,78247
,7619 WINDSOR OAKS,SAN ANTONIO,TX,78239
,13819 WONDERING OAK,SAN ANTONIO,TX,78247
,13843 WONDERING OAK,SAN ANTONIO,TX,78247
,5818 WOODGREEN,SAN ANTONIO,TX,78218
,4806 WORDSWORTH,SAN ANTONIO,TX,78217
,9122 AUTUMN LEAF,SAN ANTONIO,TX,78217
,6709 BROTHERS,SAN ANTONIO,TX,78239
,6713 BROTHERS,SAN ANTONIO,TX,78239
,6715 BROTHERS,SAN ANTONIO,TX,78239
,5234 GAWAIN,SAN ANTONIO,TX,78218
,2 KENSINGTON,SAN ANTONIO,TX,78218
,15410 LONG CRK,SAN ANTONIO,TX,78247
,3715 MARYMONT,SAN ANTONIO,TX,78217
,3714 MARYMONT,SAN ANTONIO,TX,78217
,7 MILDENHALL,SAN ANTONIO,TX,78218
,116 OAKWELL FARMS,SAN ANTONIO,TX,78218
,1 STAFFORD,SAN ANTONIO,TX,78217
,7547 WINDSOR OAKS,SAN ANTONIO,TX,78239
,7627 WINDSOR OAKS,SAN ANTONIO,TX,78239
,12503 LAKE WHITNEY,SAN ANTONIO,TX,78253
,5 PVT,SAN ANTONIO,TX,78253
,935 SPELLO,SAN ANTONIO,TX,78253
,131 BALSA DI PRATO,SAN ANTONIO,TX,78253
,160 NESTING CANYON,SAN ANTONIO,TX,78253
,7550 OAK CHASE,SAN ANTONIO,TX,78239
,7550 OAK CHASE,SAN ANTONIO,TX,78239
,7565 WINDSOR OAKS,SAN ANTONIO,TX,78239
,7577 WINDSOR OAKS,SAN ANTONIO,TX,78239
,7579 WINDSOR OAKS,SAN ANTONIO,TX,78239
,7581 WINDSOR OAKS,SAN ANTONIO,TX,78239
,7654 OAK CHASE,SAN ANTONIO,TX,78239
,7710 CLAY RIDGE,SAN ANTONIO,TX,78239
,7731 SKYLINE RIDGE,SAN ANTONIO,TX,78239
,7806 FALCON RIDGE,SAN ANTONIO,TX,78239
,8333 FOREST RIDGE,SAN ANTONIO,TX,78239
,8425 DIXON RIDGE,SAN ANTONIO,TX,78239
,8446 DIXON RIDGE,SAN ANTONIO,TX,78239
,8466 CASCADE RIDGE,SAN ANTONIO,TX,78239
,8506 SERENE RIDGE,SAN ANTONIO,TX,78239
,8743 RIDGE MOON,SAN ANTONIO,TX,78239
,4315 TAMARON PARK,SAN ANTONIO,TX,78253
,4410 LEGEND HTS,SAN ANTONIO,TX,78253
,4802 LEGEND HTS,SAN ANTONIO,TX,78253
,6540 MICHAEL,SAN ANTONIO,TX,78253
,6551 MICHAEL,SAN ANTONIO,TX,78253
,13635 ELM FORREST,SAN ANTONIO,TX,78253
,13547 ELM FORREST,SAN ANTONIO,TX,78253
,13555 ELM FORREST,SAN ANTONIO,TX,78253
,13634 OWL TREE,SAN ANTONIO,TX,78253
,13718 TURTLE CROSS,SAN ANTONIO,TX,78253
,13750 OWL TREE,SAN ANTONIO,TX,78253
,14720 CARTWRIGHT,SAN ANTONIO,TX,78253
,14890 CARTWRIGHT,SAN ANTONIO,TX,78253
,14920 MESQUITE,SAN ANTONIO,TX,78253
,15070 ROSA,SAN ANTONIO,TX,78253
,15206 MESQUITE,SAN ANTONIO,TX,78253
,15247 MESQUITE,SAN ANTONIO,TX,78253
,15306 ROSA,SAN ANTONIO,TX,78253
,15315 CARTWRIGHT,SAN ANTONIO,TX,78253
,15316 MESQUITE,SAN ANTONIO,TX,78253
,15426 ROSA,SAN ANTONIO,TX,78253
,15712 TAMARON PASS,SAN ANTONIO,TX,78253
,7664 OAK CHASE,SAN ANTONIO,TX,78239
,6205 MALIBU,SAN ANTONIO,TX,78239
,6443 DEW,SAN ANTONIO,TX,78239
,6447 DAVID,SAN ANTONIO,TX,78239
,6607 BARTON ROCK,SAN ANTONIO,TX,78239
,6711 BADGER PASS,SAN ANTONIO,TX,78239
,6727 BADGER PASS,SAN ANTONIO,TX,78239
,6734 LEYLAND,SAN ANTONIO,TX,78239
,6819 RIVULET,SAN ANTONIO,TX,78239
,6823 BUCKLEY,SAN ANTONIO,TX,78239
,8434 GLEN BREEZE,SAN ANTONIO,TX,78239
,8510 VILLA,SAN ANTONIO,TX,78239
,8418 VILLA,SAN ANTONIO,TX,78239
,8419 GLEN BREEZE,SAN ANTONIO,TX,78239
,8514 NORTHMONT,SAN ANTONIO,TX,78239
,8542 BRAEWICK,SAN ANTONIO,TX,78239
,8707 KENTSDALE,SAN ANTONIO,TX,78239
,8714 NEW WORLD,SAN ANTONIO,TX,78239
,6426 SUZANNE,SAN ANTONIO,TX,78239
,6427 SUZANNE,SAN ANTONIO,TX,78239
,6458 DEW,SAN ANTONIO,TX,78239
,6471 MONTGOMERY,SAN ANTONIO,TX,78239
,6522 ECHO FOREST,SAN ANTONIO,TX,78239
,6762 MONTGOMERY,SAN ANTONIO,TX,78239
,6806 STOCKPORT,SAN ANTONIO,TX,78239
,6808 NESTON,SAN ANTONIO,TX,78239
,6808 STOCKPORT,SAN ANTONIO,TX,78239
,6813 STOCKPORT,SAN ANTONIO,TX,78239
,6822 OLDHAM,SAN ANTONIO,TX,78239
,6828 NESTON,SAN ANTONIO,TX,78239
,6830 LAGUNA VERDE,SAN ANTONIO,TX,78239
,6831 OLDHAM,SAN ANTONIO,TX,78239
,6835 STOCKPORT,SAN ANTONIO,TX,78239
,6906 NESTON,SAN ANTONIO,TX,78239
,6907 ASHBROOK,SAN ANTONIO,TX,78239
,6911 NESTON,SAN ANTONIO,TX,78239
,6919 STOCKPORT,SAN ANTONIO,TX,78239
,7001 GLEN PARK,SAN ANTONIO,TX,78239
,7036 GLEN MIST,SAN ANTONIO,TX,78239
,7130 CORK,SAN ANTONIO,TX,78239
,7131 GLEN,SAN ANTONIO,TX,78239
,7212 GLEN MIST,SAN ANTONIO,TX,78239
,7234 GLEN BAY,SAN ANTONIO,TX,78239
,7239 GLEN BAY,SAN ANTONIO,TX,78239
,7303 RUBENS,SAN ANTONIO,TX,78239
,7314 GLEN HAVEN,SAN ANTONIO,TX,78239
,7318 GLEN HAVEN,SAN ANTONIO,TX,78239
,7318 RUBENS,SAN ANTONIO,TX,78239
,7330 GLEN CROFT,SAN ANTONIO,TX,78239
,7331 GLEN HTS,SAN ANTONIO,TX,78239
,7339 RUBENS,SAN ANTONIO,TX,78239
,7531 TARRASA,SAN ANTONIO,TX,78239
,7622 GLEN VISTA,SAN ANTONIO,TX,78239
,7631 GLEN VISTA,SAN ANTONIO,TX,78239
,7662 GLEN SHIRE,SAN ANTONIO,TX,78239
,7706 GLEN MEADOW,SAN ANTONIO,TX,78239
,7710 GLEN MEADOW,SAN ANTONIO,TX,78239
,7735 QUAIL HILL,SAN ANTONIO,TX,78239
,7806 SAREPTO,SAN ANTONIO,TX,78239
,8007 SHADOW FOREST,SAN ANTONIO,TX,78239
,8014 PEALE,SAN ANTONIO,TX,78239
,8015 CHIPPING,SAN ANTONIO,TX,78239
,8017 CHIPPING,SAN ANTONIO,TX,78239
,7826 BROADWICK,SAN ANTONIO,TX,78239
,7834 NEW WORLD,SAN ANTONIO,TX,78239
,8030 WINSFORD,SAN ANTONIO,TX,78239
,8103 CHIPPING,SAN ANTONIO,TX,78239
,8126 WHISTLER,SAN ANTONIO,TX,78239
,7943 BROADWICK,SAN ANTONIO,TX,78239
,8222 LITTLE PORT,SAN ANTONIO,TX,78239
,8318 GLEN BREEZE,SAN ANTONIO,TX,78239
,8323 BALLANTRAE,SAN ANTONIO,TX,78239
,8342 GREENHAM,SAN ANTONIO,TX,78239
,8404 MICHELLE,SAN ANTONIO,TX,78239
,13222 CIPRESSO PALCO,SAN ANTONIO,TX,78253
,6725 WALZEM,SAN ANTONIO,TX,78239
,6725 WALZEM,SAN ANTONIO,TX,78239
,6725 WALZEM,SAN ANTONIO,TX,78239
,7300 GLEN HART,SAN ANTONIO,TX,78239
,7619 GLEN MONT,SAN ANTONIO,TX,78239
,6881 MONTGOMERY,SAN ANTONIO,TX,78239
,7834 NEW WORLD,SAN ANTONIO,TX,78239
,8410 MONTGOMERY,SAN ANTONIO,TX,78239
,8443 MONTGOMERY,SAN ANTONIO,TX,78239
,8510 MONTGOMERY,SAN ANTONIO,TX,78239
,6435 LAURA,SAN ANTONIO,TX,78239
,15230 MESQUITE,SAN ANTONIO,TX,78253
,6718 HOP SING,SAN ANTONIO,TX,78253
,6718 HOP SING,SAN ANTONIO,TX,78253
,7500 TALLEY,SAN ANTONIO,TX,78253
,7510 TALLEY,SAN ANTONIO,TX,78253
,7510 TALLEY,SAN ANTONIO,TX,78253
,13531 ELM FORREST,SAN ANTONIO,TX,78253
,13735 OWL TREE,SAN ANTONIO,TX,78253
,6725 WALZEM,SAN ANTONIO,TX,78239
,7151 WOODLAKE,SAN ANTONIO,TX,78218
,4014 CR 382,SAN ANTONIO,TX,78253
,4104 CR 3841,SAN ANTONIO,TX,78253
,7625 WINDSOR OAKS,SAN ANTONIO,TX,78239
,7151 WOODLAKE,SAN ANTONIO,TX,78218
,14949 CARTWRIGHT,SAN ANTONIO,TX,78253
,6725 WALZEM,SAN ANTONIO,TX,78239
,6725 WALZEM,SAN ANTONIO,TX,78239
,6725 WALZEM,SAN ANTONIO,TX,78239
,6725 WALZEM,SAN ANTONIO,TX,78239
,5910 AMBER ROSE,SAN ANTONIO,TX,78253
,3415 COAHUILA,SAN ANTONIO,TX,78253
,2055 COTTONWOOD,SAN ANTONIO,TX,78253
,15335 NIGHT HERON,SAN ANTONIO,TX,78253
,9605 MILLERS RDG,SAN ANTONIO,TX,78239
,6725 WALZEM,SAN ANTONIO,TX,78239
,6246 TRAVIS SUMMIT,SAN ANTONIO,TX,78218
,8201 DUBLIN FOREST,SAN ANTONIO,TX,78253
,2170 2ND,SAN ANTONIO,TX,78221
,114 AARON PLACE,SAN ANTONIO,TX,78221
,211 AARON PLACE,SAN ANTONIO,TX,78221
,322 AARON PLACE,SAN ANTONIO,TX,78221
,330 AARON PLACE,SAN ANTONIO,TX,78221
,519 AARON PLACE,SAN ANTONIO,TX,78221
,902 AARON PLACE,SAN ANTONIO,TX,78221
,1214 AARON PLACE,SAN ANTONIO,TX,78221
,302 ADOLPH,SAN ANTONIO,TX,78211
,113 AGANIER,SAN ANTONIO,TX,78212
,931 AGANIER,SAN ANTONIO,TX,78212
,238 AGNES,SAN ANTONIO,TX,78212
,300 ALAMEDA,OLMOS PARK,TX,78212
,400 ALAMEDA,OLMOS PARK,TX,78212
,3240 ALGO DULCE,SAN ANTONIO,TX,78211
,110 ALLISON,SAN ANTONIO,TX,78212
,226 AMANDA,SAN ANTONIO,TX,78220
,402 AMANDA,SAN ANTONIO,TX,78220
,206 ANNIE,SAN ANTONIO,TX,78212
,220 ANNIE,SAN ANTONIO,TX,78212
,8622 ANSLEY PLACE,SAN ANTONIO,TX,78221
,2242 ARANSAS,SAN ANTONIO,TX,78220
,2326 ARANSAS,SAN ANTONIO,TX,78220
,2430 ARANSAS,SAN ANTONIO,TX,78220
,4610 ARGONNE,SAN ANTONIO,TX,78220
,4614 ARGONNE,SAN ANTONIO,TX,78220
,1330 ARROW STONE,SAN ANTONIO,TX,78258
,331 ASTORIA,SAN ANTONIO,TX,78220
,363 ASTORIA,SAN ANTONIO,TX,78220
,731 ATLANTA,SAN ANTONIO,TX,78212
